Email,"First Name","Last Name","Phone Number",Status,"Contact Record Created","IP Address","User Agent",Organization,*domain,*Message,*Sector,*Prod/Service,"*Phone 2",*Fax,*Employees,*Province,*Area,*Town,*Suburb,*Website,*Designation1,*Designation2,*Cell,"*Authoriser E-mail","*Authoriser Full Name","*Authoriser Tel","*Authoriser Cell","*Email 2",*Salut,"*.za.com address","*Premium Address 1","*Premium Address 2","*Premium Address 3","*Opened Campaign Contact Score","*Replied Contact Score","*Forward Email Contact Score","*Clicked Link Contact Score","*Submit Web Form Contact Score","*Visited Web Site Contact Score",Tags
info@africanoutposts.co.za,,,(011)-463-4580,,"2018-03-05 08:05:42",0.0.0.0,,"AFRICAN OUTPOSTS (PTY) LTD","gamereserve.za.com, lodge.za.com, wildlife.za.com, african.za.com",,HOSPITALITY,"CANOE SAFARIS,FLYING SAFARIS,SAFARI LODGES,SAFARI",,,"51 - 200",GT,"CENTRAL JOHANNESBURG",SANDTON,BRYANSTON,http://www.african-outposts.com/,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@agonamathata.co.za,,,(011)-493-1091,,"2018-01-18 09:51:05",0.0.0.0,,"Agonamathata Air Conditioning And Projects",aircon.za.com,,"GENERAL SERVICES","AIR CONDITIONING EQPT AND SYSTEMS,MAINTENANCE,REFRIGERATOR",,,"11 - 50",GT,"CENTRAL JOHANNESBURG",JOHANNESBURG,SELBY,www.agonamathata.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
info@ahphotography.co.za,,,(011)-783-3323,,"2018-01-18 13:50:10",0.0.0.0,,"ANDREW HOWES PHOTOGRAPHY",photo.za.com,,HOSPITALITY,"BRIDALWEAR,WEDDINGS,PHOTOGRAPHERS,CONFERENCES",,,"11 - 50",GT,"CENTRAL JOHANNESBURG",SANDTON,"BENMORE GARDENS",www.ahphotography.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@aig.com,,,(011)-551-8000,,"2018-02-19 13:56:30",127.0.0.1,,"A I G SOUTH AFRICA LTD",,,"FINANCIAL SERVICES","EASISURE INSURANCE,INVESTMENTS,SHORT TERM ",,,"51 - 200",GT,,JOHANNESBURG,PARKTOWN,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
info@akhiletours.co.za,,,(011)-865-1222,,"2018-02-26 13:49:00",0.0.0.0,,"Akhile Tours And Couriers",,,HOSPITALITY,"TOURS & SAFARIS",,,"11 - 50",GT,"EAST RAND",GERMISTON,ROODEKOP,www.akhiletours.co.za,,,(071)-826-8285,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
info@akkersdykstudios.co.za,,,(021)-762-4339,,"2018-01-18 13:50:18",66.249.93.212,,"AKKERSDYK STUDIOS",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,(021)-762-6063,"1 - 10",WC,"SOUTHERN SUBURBS",WYNBERG,WYNBERG,www.akkersdykstudios.co.za,,,0824851820,,,,,,,,,,,2,0,0,0,0,0,Photographer
info@aladdinscave.co.za,DAVID,WITTSTOCK,(011)-823-4589,,"2018-01-12 08:40:13",127.0.0.1,,"ALADDIN S CAVE CC",gift.za.com,"Margaret Wittstock - (011)395-1065",RETAIL,"GIFTS & CRAFTS RETAILERS",,(011)-823-4599,"51 - 200",GT,"EAST RAND",BOKSBURG,"EAST RAND MALL",http://www.aladdinscave.co.za/,"OTHER DIRECTORS & PARTNERS",DIRECTOR,,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry"
info@alastingmemory.co.za,,,(012)-804-9885,,"2018-01-18 13:50:11",0.0.0.0,,"A LASTING MEMORY",photo.za.com,,HOSPITALITY,"SCHOOLS,WEDDING,STUDIO,PHOTO STUDIOS,PHOTOGRAPHERS",,(086)-585-77269,"11 - 50",GT,"EAST PRETORIA",SILVERTON,SILVERTON,www.alastingmemory.co.za,,,(082)-341-4662,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@alisonsflowers.co.za,info@alisonsflowers.co.za,,(021)-797-7613,,"2018-02-06 10:36:42",197.89.111.134,,"ALISONS FOR FLOWERS",florist.za.com,,"GENERAL SERVICES","FLORISTS AND FLOWERS",,,,WC,"SOUTHERN SUBURBS",WYNBERG,WYNBERG,www.alisonsflowers.co.za,,,,,,,,,,,,,,2,0,0,0,0,0,Florist
info@alkantmooi.co.za,,,(044)-535-9245,,"2018-03-05 08:05:53",0.0.0.0,,"ALKANTMOOI SELF CATERING","safari.za.com, gamereserve.za.com, wildlife.za.com, lodge.za.com",,HOSPITALITY,"LODGES,MOUNTAIN LODGES,SAFARI LODGES,GAME LODGES",,,"11 - 50",WC,"GARDEN ROUTE","PLETTENBERG BAY",KEURBOOMSRIVIER,,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@aloecountrylodge.co.za,,,(079)-098-3069,,"2018-03-05 08:05:51",0.0.0.0,,"ALOE COUNTRY LODGE","safari.za.com, bush.za.com, wildlife.za.com, lodge.za.com",,HOSPITALITY,"SAFARI LODGES,GUEST LODGE,ACCOMMODATION - HOTELS ",,,"11 - 50",MP,MPUMALANGA,"PIET RETIEF",EMGULATSHANI,,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@alphoto.co.za,,,(039)-315-1863,,"2018-01-18 13:50:16",0.0.0.0,,"AVANCE PHOTOGRAPHY",photo.za.com,,"GENERAL SERVICES","PHOTOGRAPHERS AND VIDEO RECORDINGS,PHOTOGRAPHERS",,,"11 - 50",KZN,"SOUTHERN KWA-ZULU NATAL","ST MICHAELS ON SEA","ST MICHAELS ON SEA",www.avancephotography.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@aluanetownlodge.co.za,,,(012)-991-3746,,"2018-03-05 08:05:44",0.0.0.0,,"ALUANE TOWN LODGE",lodge.za.com,,HOSPITALITY,"HOTELS & LODGES",,(012)-991-8490,"51 - 200",GT,"EAST PRETORIA","FAERIE GLEN","FAERIE GLEN",www.aluanetownlodge.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@amakhosi.com,,,(034)-414-1157,,"2018-02-26 13:49:02",0.0.0.0,,"AMAKHOSI LODGE","gamereserve.za.com, lodge.za.com",,HOSPITALITY,"GAME RESERVES,GAME DRIVES,PRIVATE GAME RESERVES",,,"51 - 200",KZN,"NORTHERN KWA-ZULU NATAL INLAND",MAGUDU,MAGUDU,www.amakhosi.com,,,(073)-375-9743,,,,,,,,,,,0,0,0,0,0,0,"travel industry,Lodge Leads"
info@amantombazane.co.za,,,(031)-337-9988,,"2018-02-26 13:49:01",0.0.0.0,,"Amantombazane Travel & Tours",,,HOSPITALITY,"TRAVEL AGENCIES,SHUTTLE SERVICE, SAFARIS AND OPERA",,,"51 - 200",KZN,"CENTRAL DURBAN","CENTRAL DURBAN",BEACH,www.amantombazane.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
info@amazianlodge.com,,,(082)-562-5051,,"2018-03-05 08:05:45",0.0.0.0,,"AMAZIAN MOUNTAIN RIVER LODGE","tourist.za.com, lodge.za.com",,HOSPITALITY,"DRAKENSBERG,4 STAR ACCOMMODATION,LUXURY ACCOMMODATION",,,"11 - 50",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,,,,,,,,,,,,4,0,0,0,0,0,"Not responding to e-mails,Lodge Leads"
info@amtours.co.za,,,(082)-882-8121,,"2018-02-26 13:49:01",0.0.0.0,,"A M Tours",,,HOSPITALITY,"TOURS, SAFARIS AND OPERATORS",,,"11 - 50",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
info@anna-marieflorist.co.za,,,(086)-100-7008,,"2018-02-06 10:36:38",0.0.0.0,,"ANNA-MARIE FLORIST",florist.za.com,,"TRANSPORT & DISTRIBUTION","FLORISTS,BOUQUETS,FLOWER SUPPLIERS,DELIVERIES",,,"11 - 50",WC,"CAPE TOWN CITY","CAPE TOWN",OBSERVATORY,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
info@another1st.co.za,,,,,"2018-01-18 09:51:07",0.0.0.0,,"Another 1St Electrical",aircon.za.com,,"GENERAL SERVICES","ELECTRICAL CONTRACTORS,AIRCONDITIONING,ALARMS",,,,GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.electriciansincapetown.co.za,,,(082)-490-3888,,,,,,,,,,,4,0,0,0,0,0,"Aircon Lead,Not responding to e-mails"
info@antiquetoursandtravel.com,,,(021)-556-8727,,"2018-02-26 13:49:03",0.0.0.0,,"Antique Tours & Travel",,,"GENERAL SERVICES","SAFARIS,TOURS",,,"11 - 50",WC,"NORTH CAPE TOWN",BLOUBERG,"TABLE VIEW",,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
info@atholl.co.za,,,(071)-611-8522,,"2018-03-05 08:05:42",0.0.0.0,,ATHOLL,guesthouse.za.com,,HOSPITALITY,"LODGES,SAFARI LODGES,LODGE,MOUNTAIN LODGES",,,"51 - 200",GT,"CENTRAL JOHANNESBURG",JOHANNESBURG,LYNDHURST,,,,(071)-611-8522,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@attachelodge.co.za,,,(011)-314-1591,,"2018-03-05 08:05:47",0.0.0.0,,"ATTACHE GUEST LODGE AND HEALTH SPA","conference.za.com, lodge.za.com",,HOSPITALITY,"CONFERENCE FACILITIES,HOTELS AND LODGES,ACCOMMODATION",,,"51 - 200",GT,"NORTH EAST JOHANNESBURG",MIDRAND,RANDJIESFONTEIN,,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@augfallslodge.co.za,,,(054)-451-7203,,"2018-03-05 08:05:51",0.0.0.0,,"AUGRABIES FALLS LODGE AND CAMP","lodge.za.com, tourist.za.com, selfcatering.za.com",,HOSPITALITY,"LODGES,HOTELS - TOURIST,SELF CATERING FACILITIES",,,"11 - 50",NC,"NORTH NORTHERN CAPE",KAKAMAS,AUGRABIES,,,,(076)-895-0616,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@autumnrose.co.za,,,(072)-263-9533,,"2018-02-06 10:36:42",0.0.0.0,,"AUTUMN ROSE",florist.za.com,,RETAIL,"FLOWERS,FUNCTIONS,EVENTS,DECOR,FLORISTS,WEDDING,FLORIST",,,"11 - 50",WC,"SOUTHERN SUBURBS",BERGVLIET,KREUPELBOSCH,www.autumnrose.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
info@azochem.co.za,,,"011 472 5516",,"2018-01-12 08:40:37",127.0.0.1,,"AZOCHEM LABORATORIES (PTY) LTD",medicine.za.com,,"TRANSPORT & DISTRIBUTION","GIFT MERCHANTS - WHOLESALE,GIFT MERCHANTS ",,,"51 - 200",GT,"WEST RAND",RANDBURG,FLORIDA,www.azochem.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry,Not responding to e-mails"
info@azurehouse.com,,,(082)-353-5543,,"2018-03-05 08:05:53",0.0.0.0,,"AZURE ON THE WATER","gamereserve.za.com, lodge.za.com, wildlife.za.com ",,HOSPITALITY,"ACCOMMODATION - LODGES,GAME LODGES,LODGES,HOLIDAY",,,"11 - 50",WC,"GARDEN ROUTE",KNYSNA,HORNLEE,,,,(082)-353-5543,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@bainsganelodge.co.za,,,(051)-451-1115,,"2018-03-05 08:05:41",0.0.0.0,,"BAINS GAME LODGE","conference.za.com, lodge.za.com, restaurant.za.com",,HOSPITALITY,"GAME LODGES",,,"11 - 50",FS,"CENTRAL FREE STATE",BLOEMFONTEIN,BAINSVLEI,www.bainsganelodge.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@balafoto.co.za,,,(031)-332-6599,,"2018-01-18 13:50:15",0.0.0.0,,"BALA GOVENDER & SONS PHOTOGRAPHERS",photo.za.com,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,(031)-332-6604,"1 - 10",KZN,"CENTRAL DURBAN","CENTRAL DURBAN",BEACH,www.balafoto.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@bateleurlodge.co.za,,,(087)-802-1301,,"2018-03-05 08:05:50",0.0.0.0,,"BATELEUR LODGE","wildlife.za.com, gamereserve.za.com, lodge.za.com",,HOSPITALITY,"GUEST LODGE,LODGE,BUSH LODGE RELIEF TENTS,COUNTRY",,,"11 - 50",LM,LIMPOPO,LEPHALALE,ELLISRAS,,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@baviaanskloof.net,MAXIE,STRESO,,,"2018-03-05 08:05:44",0.0.0.0,,"BAVIAANSKLOOF LODGE","lodge.za.com ",,HOSPITALITY,"GUEST LODGE & ACCOMMODATION",(086)-616-1182,,"11 - 50",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.baviaanskloof.net,MD/CEOS,OWNER,(084)-616-0056,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@bespokebouquet.co.za,Fiona,,"(0)11 883 1969",,"2018-02-06 10:36:32",0.0.0.0,,"BESPOKE BOUQUET",florist.za.com,,HOSPITALITY,"BRIDAL BOUQUETS,WEDDING BOUQUETS,FRESH FLOWERS",,,"11 - 50",GT,"CENTRAL JOHANNESBURG",RANDBURG,BLAIRGOWRIE,https://www.bespokebouquet.co.za/,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
info@big5tourism.com,,,(076)-526-0379,,"2018-03-05 08:05:53",0.0.0.0,,"BIG5 TOURS AT FAIRY GLEN SAFARI","game.za.com, wildlife.za.com, gamereserve.za.com, safari.za.com, tours.za.com",,HOSPITALITY,"GAME CAMPS,GAME LODGES,GAME BREEDERS,HORSE RIDING",,,"11 - 50",WC,INLAND,WORCESTER,"WORCESTER WATERFRONT",,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@blacktielimo.co.za,,,,,"2018-01-18 13:50:12",0.0.0.0,,"BLACK TIE PHOTOGRAPHY",photo.za.com,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.blacktielimo.co.za,,,(082)-852-7218,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@blanfordmanor.co.za,,,(011)-462-5012,,"2018-01-10 11:34:09",127.0.0.1,,"BLANFORD MANOR",,"Peter said that he's web site and email has been redirected to a .com address but none of the addresses are working. ",HOSPITALITY,"CORPORATE,FUNCTIONS,EVENT ORGANISERS AND SERVICES",,,,GT,"NORTH JOHANNESBURG",ROODEPOORT,OLIVEDALE,www.blanfordmanor.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
info@bloomnature.co.za,,,(011)-447-0067,,"2018-02-06 10:36:32",0.0.0.0,,"BLOOM A GIFT FROM NATURE CC",florist.za.com,,RETAIL,"FLORISTS AND FLOWERS,FLOWERS,FLORISTS",,,"11 - 50",GT,"CENTRAL JOHANNESBURG",RANDBURG,ROSEBANK,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
info@bluebutterflystudio.co.za,,,,,"2018-01-18 13:50:12",0.0.0.0,,"BLUE BUTTERFLY STUDIO",photo.za.com,,"GENERAL SERVICES","MODEL PHOTOGRAPHER",,,,GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.bluebutterflystudio.co.za,,,(072)-097-9498,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@bluemoonlightlodge.co.za,DEON,MEIRING,,,"2018-03-05 08:05:43",0.0.0.0,,"BLUE MOONLIGHT LODGE",lodge.za.com,,HOSPITALITY,"GUEST LODGE & ACCOMMODATION",(012)-735-1416,(012)-735-1404,"11 - 50",GT,"EAST PRETORIA",CULLINAN,CULLINAN,www.bluemoonlightlodge.co.za,MD/CEOS,OWNER,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@bolandweddings.co.za,,,(021)-886-4261,,"2018-01-18 13:50:17",66.249.93.215,,"BOLAND WEDDING PHOTOGRAPHY AND VIDEOGRAPHY",photo.za.com,,HOSPITALITY,"WEDDING PHOTOGRAPHERS,JACHTLUS,WEDDING ",,,"11 - 50",WC,INLAND,STELLENBOSCH,STELLENBOSCH,,,,,,,,,,,,,,,4,0,0,0,0,0,Photographer
info@bonamanzi.co.za,,,(083)-634-0895,,"2018-03-05 08:05:49",0.0.0.0,,"BONAMANZI GAME RESERVE","wildlife.za.com, lodge.za.com, safari.za.com",,"BUILDING & CONSTRUCTION","GAME LODGES,TEAM BUILDING,SAFARIS,CAMPING,BOAT CRUISE",,,"51 - 200",KZN,"NORTHERN KWA-ZULU NATAL COASTAL",HLUHLUWE,HLUHLUWE,,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@bophephaservices.co.za,,,(011)-884-5432,,"2018-01-18 09:51:05",0.0.0.0,,"Bophepha Enviromental Control",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING SERVICE,AIR CONDITIONING,REFRIGERATION",,(011)-884-5442,,GT,"CENTRAL JOHANNESBURG",SANDTON,"BENMORE GARDENS",www.bophephaservices.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
info@bottebekkie.co.za,,,(011)-391-4460,,"2018-01-10 13:19:07",127.0.0.1,,"BOTTERBEKKIE GEKOOKTE ETES",,,HOSPITALITY,CATERERS,,(011)-391-4460,,GT,"EAST RAND","KEMPTON PARK",BIRCHLEIGH,,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
info@bpesawesterncape.co.za,,,(021)-418-4334,,"2018-02-19 13:56:38",127.0.0.1,,"BPE SA (WESTERN CAPE)",,,"FINANCIAL SERVICES","PERSONNEL CONSULTANTS,CALL CENTRES,INVESTMENT",,,"51 - 200",WC,,FORESHORE,FORESHORE,www.callingthecape.org.za,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
info@brickhaven.com,,,(082)-374-8725,,"2018-03-05 08:05:45",0.0.0.0,,"BRICKHAVEN ACCOMMODATION","safari.za.com, lodge.za.com, holiday.za.com, gamereserve.za.com",,HOSPITALITY,"SAFARI LODGES,MOUNTAIN LODGES,HOLIDAY LODGES,GAME RESERVE",,,"51 - 200",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,(082)-374-8725,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@bridalfantasy.co.za,SHELLEY,,(011)-467-3906,,"2018-01-18 13:50:14",196.209.244.210,,"BRIDAL FANTASY",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,0114657199,,"1 - 10",GT,"NORTH JOHANNESBURG",FOURWAYS,FOURWAYS,www.bridalfantasy.co.za,,,,,,,,,,,,,,2,0,0,0,0,0,"Photographer,Not responding to e-mails"
info@britsequestrialestate.co.za,,,(079)-093-2302,,"2018-03-05 08:05:45",0.0.0.0,,"BRITS EQUESTRIAN ESTATE","gamereserve.za.com, lodge.za.com, guesthouse.za.com",,HOSPITALITY,"GAME LODGES,ACCOMMODATION - GUEST HOUSES,ACCOMMODATION",,,"11 - 50",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
info@bunchesknysna.co.za,Hilda,,(044)-382-3706,,"2018-02-06 10:36:40",0.0.0.0,,BUNCHES,florist.za.com,,RETAIL,"FLOWERS,FLOWER DELIVERIES,INDOOR PLANTS,ORCHID,FLORIST",,,"11 - 50",WC,"GARDEN ROUTE",KNYSNA,KNYSNA,,,,,,,,,,,,,,,2,0,0,0,0,0,Florist
info@burgessflorist.co.za,Debbie,,(031)-265-0112,,"2018-02-06 10:36:36",0.0.0.0,,"BURGESS FLORISTS",florist.za.com,,RETAIL,"FLORISTS & FLOWERS",,(031)-265-0114,"11 - 50",KZN,"CENTRAL DURBAN",BEREA,MARYVALE,,,,(082)-571-0394,,,,,,,,,,,0,0,0,0,0,0,Florist
info@bushcatsafaris.com,Marie,Mccrae,,,"2018-02-26 13:45:54",0.0.0.0,,"Bush Cat Safari",,,HOSPITALITY,"TOUR OPERATORS & SAFARIS",(083)-302-6228,,"1 - 10",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.bushcatsafaris.com,MD/CEOS,OWNER,(083)-302-6228,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
info@bushwa.co.za,,,(012)-548-6390,,"2018-01-10 13:19:08",127.0.0.1,,"BUSHWA GENERAL SERVICE & SUPPLIES",,,HOSPITALITY,CATERERS,,,,GT,"NORTH PRETORIA",MONTANA,MONTANA,,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
info@bwb-pro.co.za,,,(086)-513-4962,,"2018-01-18 13:50:12",66.249.93.211,,"BEKKER PHOTOGRAPHY",photo.za.com,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"EAST RAND",GERMISTON,WADEVILLE,www.bwb-pro.co.za,,,(082)-927-8621,,,,,,,,,,,4,0,0,0,0,0,Photographer
info@cadogantrade.co.za,,,(082)-440-8677,,"2018-02-19 13:56:29",127.0.0.1,,"CADOGAN HALL INVESTMENT AND TRADE",,,"FINANCIAL SERVICES","SHARES,INVESTMENTS,COMMODITY BROKERS,ONLINE",,,"51 - 200",GT,,RANDBURG,ROSEBANK,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
info@callwild.co.za,,,(016)-932-4924,,"2018-01-18 13:50:14",0.0.0.0,,"CALL OF THE WILD PHOTO-VIDEO",photo.za.com,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"VAAL TRIANGLE",VANDERBIJLPARK,"ELIGWA PARK",www.callwild.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@camerastudio.co.za,,,(033)-346-0699,,"2018-01-18 13:50:16",0.0.0.0,,"CAMERA STUDIO",photo.za.com,,"EDUCATION & TRAINING","PHOTOS,ADVERTISING PHOTOGRAPHY,PHOTOGRAPHY COURSES",,,"11 - 50",KZN,"SOUTHERN KWA-ZULU NATAL",PIETERMARITZBURG,PELHAM,www.camerastudio.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@caostalaircon.co.za,,,,,"2018-01-18 09:51:08",0.0.0.0,,"Coastal Aircon Home & Office Airconditioners",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING,CASSETTES,DOMESTIC,HEATING,OFFICES",,,"11 - 50",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,(072)-927-9028,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
info@casatoscana.co.za,,,(012)-361-2277,,"2018-01-10 13:19:06",127.0.0.1,,"CASA TOSCANA LODGE & CONFERENCE CENTRE",,,HOSPITALITY,CATERERS,,,,GT,"CENTRAL PRETORIA","LYNNWOOD GLEN","LYNNWOOD GLEN",www.casatoscana.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
info@catfishjoeproductions.co.za,,,(028)-272-9074,,"2018-01-18 13:50:17",0.0.0.0,,"CATFISH JOE PRODUCTIONS",photo.za.com,,HOSPITALITY,"PUBLIC,PHOTOGRAPHERS,WEDDINGS,VIDEO PRODUCTION ",,,"11 - 50",WC,OVERBERG,"BETTY S BAY","BETTY S BAY",www.catfishjoeproductions.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@celestialmusic.co.za,,,(012)-662-0318,,"2018-01-18 13:50:14",0.0.0.0,,"ARTISCO DESIGN",photo.za.com,,"GENERAL SERVICES","GRAPHIC DESIGNERS,PHOTOGRAPHERS",,,"11 - 50",GT,"SOUTH PRETORIA",CENTURION,"PIERRE VAN RYNEVELD",,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
info@centromac.co.za,,,(011)-397-1024,,"2018-01-18 09:51:06",0.0.0.0,,"Centromac Refrigeration & Airconditioning Services (Pty) Ltd",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING EQUIPMENT,AIR CONDITIONING SERVICE",,,"11 - 50",GT,"EAST RAND",BOKSBURG,"JET PARK",www.centromac.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
info@chamberofmines.org.za,,,(011)-498-7100,,"2018-02-19 13:56:30",127.0.0.1,,"CHAMBER OF MINES",,,"FINANCIAL SERVICES","PENSION FUNDS,SAVINGS,PROVIDENT,FINANCE,INVESTORS",,,"51 - 200",GT,,"JOHANNESBURG CITY",JOHANNESBURG,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
info@chh.co.za,,,(011)-784-6201,,"2018-02-19 13:56:30",127.0.0.1,,"CHANCELLOR HOUSE HOLDINGS",,,"FINANCIAL SERVICES","INVESTMENT COMPANIES",,,"1001 - 5000",GT,,SANDTON,"BENMORE GARDENS",,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
info@classiquecuisine.co.za,,,(011)-708-0344,,"2018-01-10 13:19:07",127.0.0.1,,"CLASSIQUE CUISINE",,,HOSPITALITY,CATERERS,,(011)-708-0344,,GT,"NORTH JOHANNESBURG","KYA SAND","KYA SAND",www.classiquecuisine.co.za,,,(082)-854-7597,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
info@countryflowersonline.co.za,Jackie,,(011)-616-1509,,"2018-02-06 10:36:32",197.86.158.79,,"COUNTRY FLOWERS",florist.za.com,,RETAIL,"BOUQUETS,FLORISTS AND FLOWERS,WEDDING,ARRANGEMENTS",,(011)-616-2786,"11 - 50",GT,"CENTRAL JOHANNESBURG",JOHANNESBURG,CLEVELAND,www.countryflowersonline.co.za,,,,,,,,,,,,,,2,0,0,0,0,0,Florist
info@cpgroup.co.za,,,(021)-945-2501,,"2018-02-19 13:56:39",127.0.0.1,,"CHARLES POTGIETER GROUP",,,"FINANCIAL SERVICES","INVESTMENT COMPANIES LOCAL,INVESTMENT COMPANIES ",,,"51 - 200",WC,,BELLVILLE,BELLVILLE,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
info@crowhurstplace.co.za,,,(031)-767-5202,,"2018-01-18 09:51:11",0.0.0.0,,"Crowhurst Place Guesthouse",aircon.za.com,,HOSPITALITY,"AIRCONDITIONING,GUEST LODGE,RESTAURANT,FUNCTIONS",,(031)-767-0777,"11 - 50",KZN,"CENTRAL DURBAN",KLOOF,KLOOF,www.crowhurstplace.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
info@dawnsgifts.co.za,Dawn,,(021)-715-1655,,"2018-02-06 10:36:42",0.0.0.0,,"DAWNS GIFTS & FLOWERS",florist.za.com,,RETAIL,FLORISTS,,,"1 - 10",WC,"SOUTHERN SUBURBS",BERGVLIET,BERGVLIET,http://www.dawnsgifts.co.za/,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
info@deliexpress.co.za,,,(011)-782-1350,,"2018-01-10 13:19:10",127.0.0.1,,"DELI EXPRESS",,,HOSPITALITY,"CORPORATE FUNCTIONS,PARTY CATERING,CATERERS,CATERING",,,,GT,"CENTRAL JOHANNESBURG",RANDBURG,LINDEN,www.deliexpress.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
